,neutral,clickbait,inflammatory
FAKENIX_geoengineeringwatch.org,-0.1776246958540064,0.21776181102774791,0.4207526103802612
FAKENIX_clickhole.com,0.04760256519916761,-0.07867772266565697,0.02992207008797322
FAKENIX_consciouslifenews.com,0.09447801126670932,-0.12522221926789517,-0.1578203617133066
FAKENIX_intellihub.com,0.17994516100550345,-0.21725299258270664,-0.4497991973463291
FAKENIX_empirenews.net,0.05468338549676805,-0.12514654324045985,0.2785047828573769
FAKENIX_thefreethoughtproject.com,-0.00113767157215147,-0.009702774171926906,0.08062414211048059
FAKENIX_yournewswire.com,0.09914621797278537,-0.15165943334432955,-0.02341890537217954
FAKENIX_react365.com,0.10966491541241935,-0.09230793640546016,-0.5556702291024437
FAKENIX_globalresearch.ca,0.00441453463592907,0.02346931244343905,-0.2132685076061303
FAKENIX_collective-evolution.com,0.10833097752704464,-0.16689844807822057,-0.017235406792078706
FAKENIX_dcclothesline.com,0.14460285064495146,-0.2507134492098988,0.17314759403825591
FAKENIX_duffelblog.com,-0.07348296926423772,0.08607542755802387,0.20223892684884265
FAKENIX_occupydemocrats.com,0.15570104569796733,-0.2044172308431087,-0.2737882584083218
FAKENIX_wnd.com,-0.006329813851629123,0.015807850012399968,-0.04151894580471684
FAKENIX_twitchy.com,0.06064331996742767,-0.12042523405751841,0.17992386440592448
FAKENIX_hangthebankers.com,0.1527197897410471,-0.1910713964582078,-0.3347781078063015
FAKENIX_flyheight.com,-0.020491348148015107,-0.0074484320988954566,0.27725401174156317
RNIX_theage.com.au,0.03582616360952907,-0.043084386939268214,-0.09074352333989459
RNIX_adelaidenow.com.au,0.15544832600712014,-0.2945093976034016,0.36163325767016896
RNIX_heraldsun.com.au,0.11139808758795111,-0.12202195993976633,-0.3660381317218203
RNIX_crikey.com.au,0.11458691647505458,-0.18601898853848853,0.04835696976636175
RNIX_au.news.yahoo,0.003016283120179783,-0.016712560600104003,0.08424722862809052
RNIX_thewest.com.au,-0.06309615708017535,0.09022786485049107,0.059055473441137096
RNIX_themercury.com.au,0.1583606494740599,-0.2753730201376132,0.19528252274000393
RNIX_afr.com,-0.13534243302596127,0.1933345877331114,0.12812071535919586
RNIX_9news.com.au,0.1060376528465805,-0.14302637720863157,-0.1596947846285178
RNIX_huffingtonpost.com.au,0.03387023488443972,-0.0458086645075613,-0.05014128996719617
RNIX_dailytelegraph.com.au,0.1651041070788008,-0.24672297740768315,-0.07993262302440313
RNIX_couriermail.com.au,0.02938893592487478,-0.05878199266616933,0.09015500745824367
RNIX_brisbanetimes.com.au,0.06258282182782236,-0.11410906946146095,0.11427893259726751
RNIX_independentaustralia.net,0.1697188086834929,-0.24625172343255877,-0.13390104188796617
RNIX_news.com.au,0.03775802520215072,-0.04574626426201068,-0.09325877651259405
RNIX_ntnews.com.au,0.03176479028457687,-0.05685881626802464,0.05056843422476825
RNIX_theaustralian.com.au,0.1405884043194858,-0.1559692672507914,-0.44809740627948447
RNIX_perthnow.com.au,0.11632977736644061,-0.16407418818855388,-0.12487703447640269
RNIX_newmatilda.com,0.027016426844956584,-0.049508949462364615,0.0510825148599712
RNIX_canberratimes.com.au,0.06180846933587786,-0.08204803773817872,-0.10236008725909265
RNIX_skynews.com.au,0.03858729450899939,-0.06928671951983065,0.06294399735152398
RNIX_watoday.com.au,0.13133877428659763,-0.17006046476397307,-0.2476055029369681
RNIX_thesaturdaypaper.com.au,-0.019091310169667003,0.027254264183981098,0.01819466092620585
